날짜,시간별 예측값,시간별 실제값,시간별 MAPE 평균 (%),하루 평균 MAPE (%)
20230209,"[841533.0, 808989.3333333334, 770484.0, 742794.0, 731890.6666666666, 728544.6666666666, 742166.6666666666, 777025.0, 826560.6666666666, 839351.3333333334, 812735.6666666666, 775947.6666666666, 730115.0, 688880.0, 697898.3333333334, 713155.0, 718561.3333333334, 775363.0, 837489.0, 907089.6666666666, 914775.3333333334, 899205.3333333334, 875341.3333333334, 859924.3333333334]","[809323.0, 796017.0, 756736.0, 725971.0, 711641.0, 717491.0, 727728.0, 748879.0, 798688.0, 813072.0, 797021.0, 785315.0, 764858.0, 753682.0, 773324.0, 783823.0, 829250.0, 872292.0, 903578.0, 915192.0, 901793.0, 881223.0, 853758.0, 832728.0]",4.31674877160184,1.233874933390481
20230210,"[836403.0, 800092.6666666666, 761924.0, 732626.0, 721628.6666666666, 720856.3333333334, 734815.3333333334, 765978.3333333334, 815358.3333333334, 815206.0, 782928.3333333334, 754930.6666666666, 698564.0, 650973.0, 662216.3333333334, 683509.0, 712011.0, 760001.0, 827839.6666666666, 900530.3333333334, 908310.3333333334, 892445.6666666666, 870437.0, 855108.0]","[855123.0, 767984.0, 734250.0, 717853.0, 708265.0, 700953.0, 705693.0, 727682.0, 779296.0, 833756.0, 807338.0, 741806.0, 707281.0, 693797.0, 691195.0, 701138.0, 717018.0, 758151.0, 817852.0, 894850.0, 917023.0, 902811.0, 889420.0, 875929.0]",2.5615697007231386,0.09776116265260801
20230211,"[832926.3333333334, 795159.3333333334, 757813.3333333334, 735323.3333333334, 724547.0, 723653.3333333334, 733325.0, 760511.3333333334, 810074.0, 818375.0, 774468.6666666666, 735196.0, 699613.6666666666, 677716.0, 686193.6666666666, 697906.6666666666, 731614.6666666666, 777662.0, 840778.0, 904684.0, 909877.0, 891947.6666666666, 869864.0, 855044.0]","[789991.0, 823270.0, 789522.0, 768579.0, 755140.0, 755757.0, 763338.0, 768301.0, 775654.0, 752209.0, 723083.0, 744832.0, 757131.0, 703798.0, 695982.0, 699361.0, 737678.0, 795966.0, 830035.0, 858213.0, 851382.0, 831236.0, 810239.0, 794680.0]",4.331181568404168,0.9092520706309217
20230212,"[818145.6666666666, 795757.0, 760169.3333333334, 737467.6666666666, 725015.3333333334, 724733.6666666666, 732253.0, 748287.3333333334, 784546.0, 799679.0, 775814.0, 757317.6666666666, 743090.0, 717092.3333333334, 720167.0, 728107.3333333334, 761315.3333333334, 808803.0, 850488.3333333334, 889418.3333333334, 890066.0, 871756.6666666666, 851139.0, 834445.6666666666]","[776072.0, 753345.0, 711699.0, 690211.0, 690890.0, 698109.0, 717594.0, 732412.0, 746698.0, 683848.0, 643101.0, 666051.0, 663004.0, 685600.0, 770122.0, 785561.0, 811445.0, 827454.0, 851036.0, 862731.0, 850083.0, 826880.0, 804145.0, 783427.0]",6.606967812604818,4.400942098533623
20230213,"[807062.0, 781533.0, 745157.0, 725547.6666666666, 718098.3333333334, 718273.0, 728875.0, 742798.3333333334, 767216.0, 756604.3333333334, 724507.3333333334, 717563.0, 709138.6666666666, 694398.3333333334, 719099.6666666666, 728686.6666666666, 755380.3333333334, 793857.0, 832974.3333333334, 871931.3333333334, 872829.3333333334, 853642.3333333334, 834601.3333333334, 818012.0]","[851658.0, 731298.0, 695206.0, 672120.0, 657723.0, 663889.0, 687220.0, 728191.0, 784622.0, 872483.0, 921807.0, 897361.0, 851693.0, 783497.0, 772138.0, 780324.0, 795223.0, 833738.0, 858497.0, 908349.0, 915103.0, 900336.0, 875591.0, 865833.0]",7.83334906516258,4.590334940953197
20230214,"[805907.0, 769304.3333333334, 732142.3333333334, 710303.3333333334, 701251.0, 705918.3333333334, 722717.3333333334, 742968.0, 768991.3333333334, 769513.3333333334, 762663.6666666666, 769414.6666666666, 757276.0, 724298.3333333334, 746080.6666666666, 755082.0, 781448.6666666666, 819052.6666666666, 846522.6666666666, 876431.0, 872189.3333333334, 852817.3333333334, 829991.6666666666, 814646.6666666666]","[899756.0, 807815.0, 767795.0, 747660.0, 738882.0, 737468.0, 758641.0, 791131.0, 835639.0, 823144.0, 758548.0, 725936.0, 677096.0, 612260.0, 610742.0, 620122.0, 645827.0, 717149.0, 821553.0, 934622.0, 961922.0, 953985.0, 929655.0, 912350.0]",9.414845415881114,0.8130324038913882
20230215,"[842495.3333333334, 764152.6666666666, 724900.0, 703330.3333333334, 695831.6666666666, 699822.0, 721151.6666666666, 750578.0, 788986.3333333334, 793158.3333333334, 774485.3333333334, 763116.0, 730597.6666666666, 693785.6666666666, 717667.3333333334, 728669.0, 750831.6666666666, 792780.3333333334, 843695.3333333334, 901900.6666666666, 909036.0, 893733.6666666666, 869797.0, 853870.0]","[855535.0, 848413.0, 804599.0, 770900.0, 765148.0, 775072.0, 792921.0, 823196.0, 864407.0, 853336.0, 801465.0, 769578.0, 757150.0, 776959.0, 807880.0, 814717.0, 830509.0, 856601.0, 905210.0, 944349.0, 947277.0, 941076.0, 907776.0, 875858.0]",6.949450945542679,6.876877432935065
20230216,"[868983.0, 795842.0, 755866.6666666666, 730226.6666666666, 720584.3333333334, 725476.3333333334, 746260.6666666666, 780839.3333333334, 828222.6666666666, 849654.3333333334, 827273.3333333334, 797625.0, 761979.6666666666, 724238.6666666666, 730253.3333333334, 738387.6666666666, 757186.3333333334, 802496.0, 861753.3333333334, 929106.6666666666, 941434.0, 931799.0, 904340.6666666666, 884680.3333333334]","[885491.0, 817508.0, 777341.0, 752296.0, 740434.0, 735802.0, 750618.0, 780656.0, 817485.0, 844739.0, 832573.0, 821791.0, 792487.0, 782658.0, 806386.0, 807856.0, 792568.0, 805449.0, 842984.0, 916918.0, 952854.0, 935848.0, 912829.0, 901770.0]",2.607011916942069,2.084232305588115
20230217,"[880260.6666666666, 824578.6666666666, 783245.0, 756952.0, 748154.6666666666, 749447.3333333334, 767393.3333333334, 798327.6666666666, 839177.0, 840406.3333333334, 797528.6666666666, 772435.0, 742244.3333333334, 723959.0, 741669.3333333334, 747565.0, 756301.3333333334, 793066.3333333334, 856582.3333333334, 931963.0, 954017.6666666666, 943636.3333333334, 916753.3333333334, 896659.3333333334]","[780098.0, 846882.0, 808113.0, 782726.0, 764948.0, 745002.0, 749882.0, 774211.0, 818072.0, 892207.0, 902537.0, 835177.0, 769860.0, 766438.0, 815442.0, 826214.0, 850255.0, 874491.0, 887010.0, 889757.0, 879576.0, 852888.0, 820447.0, 800940.0]",6.5267516281892215,0.8657975751458322
20230218,"[840374.6666666666, 837601.0, 796684.3333333334, 768640.6666666666, 756843.3333333334, 751958.6666666666, 764473.6666666666, 792687.6666666666, 833321.3333333334, 863427.3333333334, 845525.0, 808848.6666666666, 773165.6666666666, 775351.6666666666, 809902.6666666666, 816262.3333333334, 824444.0, 845513.6666666666, 878401.3333333334, 917008.0, 926569.0, 909937.3333333334, 880350.6666666666, 859522.6666666666]","[752739.0, 729940.0, 681466.0, 651736.0, 639217.0, 641967.0, 655758.0, 682806.0, 708241.0, 722695.0, 711265.0, 709188.0, 688416.0, 682165.0, 702804.0, 724855.0, 756470.0, 781109.0, 799902.0, 809977.0, 805487.0, 788101.0, 769905.0, 760072.0]",14.646095947544879,14.522318078010677
20230219,"[806109.3333333334, 798110.0, 755640.0, 728919.3333333334, 714866.3333333334, 707590.3333333334, 718752.6666666666, 745891.0, 781266.0, 819880.3333333334, 815458.3333333334, 788718.6666666666, 750254.3333333334, 743753.6666666666, 774877.3333333334, 786308.3333333334, 799764.3333333334, 820349.6666666666, 843298.6666666666, 872217.3333333334, 879305.6666666666, 858945.6666666666, 834393.6666666666, 820927.3333333334]","[876114.0, 704307.0, 667183.0, 650402.0, 644820.0, 651354.0, 675030.0, 700686.0, 726428.0, 714291.0, 681964.0, 682052.0, 660154.0, 634660.0, 648671.0, 649564.0, 656720.0, 684427.0, 771727.0, 886966.0, 924763.0, 922652.0, 905657.0, 895007.0]",12.020815207540352,7.66365840487931
20230220,"[802983.6666666666, 760376.3333333334, 718920.6666666666, 694954.6666666666, 682995.0, 679441.0, 693556.6666666666, 719234.3333333334, 750913.6666666666, 776397.6666666666, 765255.3333333334, 742139.0, 706143.3333333334, 694421.0, 722305.6666666666, 733544.3333333334, 754481.6666666666, 780009.0, 819546.3333333334, 862233.3333333334, 869942.0, 854547.0, 832003.0, 818673.0]","[927792.0, 838203.0, 800524.0, 780332.0, 768284.0, 772312.0, 793188.0, 830368.0, 864884.0, 795815.0, 711737.0, 673939.0, 633818.0, 614413.0, 666958.0, 684690.0, 684671.0, 735086.0, 841759.0, 955191.0, 985936.0, 976627.0, 955182.0, 944775.0]",10.218849445494815,5.206077853589732
20230221,"[852215.0, 757483.3333333334, 716391.0, 694156.6666666666, 684107.0, 688544.3333333334, 707992.0, 737953.3333333334, 766517.6666666666, 744267.0, 701655.3333333334, 688393.0, 660796.0, 643746.0, 672811.0, 686369.6666666666, 699287.0, 733540.6666666666, 804462.6666666666, 884044.6666666666, 905395.3333333334, 895793.3333333334, 876914.6666666666, 866618.0]","[928348.0, 879559.0, 840630.0, 817317.0, 809140.0, 813320.0, 833904.0, 871999.0, 913079.0, 876324.0, 783297.0, 740331.0, 691379.0, 636183.0, 643660.0, 665214.0, 702901.0, 742781.0, 843993.0, 984864.0, 1024913.0, 1011269.0, 979964.0, 955056.0]",9.77536605435458,9.604930273548817
20230222,"[910751.3333333334, 807356.3333333334, 769445.6666666666, 749350.3333333334, 740748.0, 745662.0, 767374.0, 801017.6666666666, 834797.0, 795476.6666666666, 725666.0, 698774.0, 661783.6666666666, 628418.6666666666, 653096.3333333334, 666489.3333333334, 681430.6666666666, 720764.6666666666, 819159.6666666666, 942340.3333333334, 978537.3333333334, 970182.6666666666, 946934.3333333334, 931612.6666666666]","[822658.0, 881733.0, 839853.0, 809415.0, 793232.0, 779140.0, 793861.0, 830841.0, 863954.0, 799543.0, 714934.0, 710822.0, 729692.0, 746903.0, 786970.0, 809819.0, 822551.0, 853312.0, 878867.0, 905049.0, 908366.0, 885943.0, 858565.0, 842597.0]",8.393370975478694,3.6680289042478025
20230223,"[892932.6666666666, 866498.3333333334, 827002.3333333334, 802354.6666666666, 790218.6666666666, 788257.3333333334, 806984.3333333334, 844402.6666666666, 880639.0, 823894.0, 736656.0, 708364.0, 684963.0, 665833.0, 699196.0, 719907.6666666666, 736707.6666666666, 777059.6666666666, 854873.0, 948368.0, 973071.6666666666, 957946.3333333334, 931237.0, 914142.6666666666]","[833864.0, 781471.0, 749499.0, 724007.0, 710083.0, 709565.0, 728007.0, 760379.0, 805930.0, 836903.0, 835023.0, 817341.0, 790698.0, 735780.0, 747651.0, 734389.0, 740484.0, 772955.0, 833788.0, 890898.0, 909187.0, 891178.0, 864693.0, 848145.0]",7.945261621445199,3.0421696475213897
