날짜,발전수요량,기온(°C)
2023-09-09,707738.2916666666,24.808333333333334
2023-09-10,693187.6666666666,24.808333333333334
2023-09-11,754189.4583333334,25.53333333333333
2023-09-12,782016.0,25.745833333333334
2023-09-13,797105.3333333334,27.099999999999998
2023-09-14,778124.0833333334,24.15833333333333
2023-09-15,803716.3333333334,27.075
2023-09-16,771754.7916666666,25.366666666666664
2023-09-17,731447.7916666666,24.47083333333333
2023-09-18,767437.5416666666,25.483333333333334
2023-09-19,758907.2916666666,25.775000000000002
2023-09-20,794122.4166666666,27.40833333333333
2023-09-21,720158.8333333334,24.191666666666666
2023-09-22,710289.2083333334,23.708333333333332
2023-09-23,656739.875,24.27916666666667
2023-09-24,639117.0833333334,24.145833333333332
2023-09-25,711759.0,24.916666666666668
2023-09-26,723829.7083333334,25.829166666666666
2023-09-27,708262.8333333334,25.72083333333333
2023-09-28,666622.9166666666,25.40416666666667
2023-09-29,599862.0,24.004166666666666
2023-09-30,611318.125,21.0625
2023-10-01,579998.6666666666,22.508333333333336
2023-10-02,577212.9583333334,21.816666666666666
2023-10-03,621303.375,21.666666666666668
2023-10-04,625941.5833333334,22.133333333333336
2023-10-05,617467.125,20.416666666666668
2023-10-06,625775.1666666666,18.966666666666665
2023-10-07,624469.7916666666,18.991666666666667
2023-10-08,602456.8333333334,19.954166666666666
2023-10-09,609663.9583333334,20.720833333333335
2023-10-10,619805.1666666666,20.675
2023-10-11,632164.6666666666,20.325
2023-10-12,623197.9583333334,20.166666666666668
2023-10-13,636060.8333333334,20.266666666666666
2023-10-14,601859.125,20.5625
2023-10-15,586762.0416666666,20.170833333333334
2023-10-16,617705.7916666666,18.933333333333334
2023-10-17,611768.0416666666,18.458333333333332
2023-10-18,617787.2916666666,18.033333333333335
2023-10-19,631892.4583333334,20.879166666666666
2023-10-20,627619.125,17.325
2023-10-21,583466.25,17.254166666666666
2023-10-22,574681.0833333334,17.558333333333334
2023-10-23,610491.7083333334,17.258333333333333
2023-10-24,620621.0416666666,17.45
2023-10-25,623807.0,19.829166666666666
2023-10-26,630293.4583333334,20.162499999999998
2023-10-27,618570.4583333334,18.75
2023-10-28,592583.4583333334,17.208333333333332
2023-10-29,588044.0416666666,17.958333333333332
2023-10-30,622721.0,18.191666666666666
2023-10-31,617122.75,17.804166666666667
2023-11-01,620805.625,19.8875
2023-11-02,624151.125,19.858333333333334
2023-11-03,635867.8333333334,20.945833333333333
2023-11-04,624116.6666666666,22.008333333333336
2023-11-05,624730.875,23.287499999999998
2023-11-06,646842.75,19.820833333333333
2023-11-07,617323.625,15.120833333333332
2023-11-08,615324.9583333334,15.450000000000001
2023-11-09,637428.2083333334,18.325
2023-11-10,635741.6666666666,13.541666666666666
2023-11-11,610710.625,10.954166666666666
2023-11-12,624963.375,10.375
2023-11-13,675434.75,9.416666666666666
2023-11-14,678385.4583333334,11.387500000000001
